title,year,type,authors,author_links,url
AI: What Do We Fear? What Do We Hope For? Perception of the Societal Impact of AI in a European Transnational Cross-Sectional Study,2024,,"Piotr Lis, Lis, P.",https://pureportal.coventry.ac.uk/en/persons/piotr-lis; https://pureportal.coventry.ac.uk/en/persons/piotr-lis,https://pureportal.coventry.ac.uk/en/publications/ai-what-do-we-fear-what-do-we-hope-for-perception-of-the-societal
Profiling European citizen scientist:  Evidence from Poland,2023,,"Piotr Lis, Lis, P.",https://pureportal.coventry.ac.uk/en/persons/piotr-lis; https://pureportal.coventry.ac.uk/en/persons/piotr-lis,https://pureportal.coventry.ac.uk/en/publications/profiling-european-citizen-scientist-evidence-from-poland
Deliniation of metropolitan areas in Poland: A functional approach,2022,,"Piotr Lis, Lis, P.",https://pureportal.coventry.ac.uk/en/persons/piotr-lis; https://pureportal.coventry.ac.uk/en/persons/piotr-lis,https://pureportal.coventry.ac.uk/en/publications/deliniation-of-metropolitan-areas-in-poland-a-functional-approach
Can Citizen Science Increase Trust in Research ? A Case Study of Delineating Polish Metropolitan Areas,2021,,"Piotr Lis, Lis, P.",https://pureportal.coventry.ac.uk/en/persons/piotr-lis; https://pureportal.coventry.ac.uk/en/persons/piotr-lis,https://pureportal.coventry.ac.uk/en/publications/can-citizen-science-increase-trust-in-research-a-case-study-of-de
Civilian targeting in African conflicts - a poor actor's game that spreads through space,2021,,"Piotr Lis, Lis, P.",https://pureportal.coventry.ac.uk/en/persons/piotr-lis; https://pureportal.coventry.ac.uk/en/persons/piotr-lis,https://pureportal.coventry.ac.uk/en/publications/civilian-targeting-in-african-conflicts-a-poor-actors-game-that-s
"Citizen science, trust and strengthening community. Urban and interdisciplinary perspectives",2021,,"Piotr Lis, Lis, P.",https://pureportal.coventry.ac.uk/en/persons/piotr-lis; https://pureportal.coventry.ac.uk/en/persons/piotr-lis,https://pureportal.coventry.ac.uk/en/activities/citizen-science-trust-and-strengthening-community-urban-and-inter
THE POLITICAL ECONOMY OF DEMOCRACY AND DICTATORSHIP,2019,,"Piotr Lis, Lis, P.",https://pureportal.coventry.ac.uk/en/persons/piotr-lis; https://pureportal.coventry.ac.uk/en/persons/piotr-lis,https://pureportal.coventry.ac.uk/en/activities/the-political-economy-of-democracy-and-dictatorship
International Conference on Applied Business and Economics 2019,2019,,"Piotr Lis, Lis, P.",https://pureportal.coventry.ac.uk/en/persons/piotr-lis; https://pureportal.coventry.ac.uk/en/persons/piotr-lis,https://pureportal.coventry.ac.uk/en/activities/international-conference-on-applied-business-and-economics-2019
Facets of Political Violence and Peacebuilding,2019,,"Piotr Lis, Lis, P.",https://pureportal.coventry.ac.uk/en/persons/piotr-lis; https://pureportal.coventry.ac.uk/en/persons/piotr-lis,https://pureportal.coventry.ac.uk/en/activities/facets-of-political-violence-and-peacebuilding
Coventry – Łazarski Joint Research Workshop 2018,2018,,"Piotr Lis, Lis, P.",https://pureportal.coventry.ac.uk/en/persons/piotr-lis; https://pureportal.coventry.ac.uk/en/persons/piotr-lis,https://pureportal.coventry.ac.uk/en/activities/coventry-%C5%82azarski-joint-research-workshop-2018
